"x"
1,6112250527453
1,77901367444734
1,2627065646885
0,942581301254275
0,641332720185689
1,14625369133807
0,576001026615268
1,17548847725909
0,844412019548104
1,10679111578964
1,32926228342868
0,336140364773089
1,47594907157295
1,69832598961383
1,9706777501903
1,18109758376368
1,0292306776408
1,4754855758767
1,49466594284162
2,81709598172902
0,514569415329862
0,950113241633798
0,844463643755115
1,24903752709826
0,765413513664353
0,920236052727087
1,32781107912725
1,92612177803097
0,846587414647324
2,14190450888081
2,19527209872461
1,36962150551846
0,871290862760233
1,53858865601135
1,54628029349478
1,52000481535122
1,47125542694128
0,969455514713883
0,593688771141236
1,4704527662026
1,27388307808353
0,666363661820407
0,815594044110048
2,08258335037281
1,73314174760997
0,876418460225892
1,5281565407473
0,556126161219537
0,465845830621267
1,4998654113117
2,37009650418596
1,85120533294976
