"x"
1,8342654580752
5,58856022883692
6,76078837694727
5,88124962330647
8,29006959249591
4,07403140985334
5,31521676348458
3,99583838368087
5,87710945349074
2,96658431561552
5,01208354768101
4,11769009767826
9,18535946067339
4,76417326179879
4,12487645753267
4,96254342054022
4,82961251415802
6,93531615220631
2,17543180112025
4,38016039896672
5,17696167469781
10,5213799465047
3,5825979949055
2,05591537288415
4,28419059840218
3,90752516550339
6,07567892148488
4,56194220454766
2,97856039332627
2,98657898731242
9,16926367307474
1,56562652023513
7,32811717484979
4,10135730230949
1,4157734360455
8,89369710129701
4,09881237391881
7,33323588405829
4,02760586071348
5,62365250777957
4,31235268375202
4,45495469894821
10,5541792536692
4,97372641737164
6,25652283952138
2,13136479713462
6,19669253422329
4,43644657200528
5,2009748936726
3,7820799552063
7,26507817349688
6,43911433095685
3,07839809852162
6,00350100199348
5,7611620683572
5,99129529025795
3,6714419966039
3,36855421040433
4,41253913085602
4,13200047010431
4,24396029756141
4,75484724432219
8,16205635313764
6,88668353822403
4,34968517824038
4,30883874110416
2,73530254280614
4,25962516280326
9,18519445229848
5,56665377393946
3,4438536055081
5,64988418469331
